INDICATOR_ID,INDICATOR_LABEL_EN
43041,"Caribbean and Central America: Students from Dominican Republic, male (number)"
43042,"South America: Students from Ecuador, male (number)"
43043,"Caribbean and Central America: Students from El Salvador, male (number)"
43044,"Caribbean and Central America: Students from Grenada, male (number)"
43045,"Caribbean and Central America: Students from Guatemala, male (number)"
43046,"South America: Students from Guyana, male (number)"
43047,"Caribbean and Central America: Students from Haiti, male (number)"
43048,"Caribbean and Central America: Students from Honduras, male (number)"
43049,"Caribbean and Central America: Students from Jamaica, male (number)"
43050,"Caribbean and Central America: Students from Mexico, male (number)"
43051,"Caribbean and Central America: Students from Montserrat, male (number)"
43052,"Caribbean and Central America: Students from Nicaragua, male (number)"
43053,"Caribbean and Central America: Students from Panama, male (number)"
43054,"South America: Students from Paraguay, male (number)"
43055,"South America: Students from Peru, male (number)"
43057,"Caribbean and Central America: Students from Saint Kitts and Nevis, male (number)"
43058,"Caribbean and Central America: Students from Saint Lucia, male (number)"
43059,"Caribbean and Central America: Students from Saint Vincent and the Grenadines, male (number)"
43061,"South America: Students from Suriname, male (number)"
43062,"Caribbean and Central America: Students from Trinidad and Tobago, male (number)"
43063,"Caribbean and Central America: Students from the Turks and Caicos Islands, male (number)"
43064,"South America: Students from Uruguay, male (number)"
43065,"South America: Students from the Bolivarian Republic of Venezuela, male (number)"
43068,"Asia: Students from Afghanistan, male (number)"
43069,"Asia: Students from Armenia, male (number)"
43070,"Asia: Students from Azerbaijan, male (number)"
43071,"Asia: Students from Bahrain, male (number)"
43072,"Asia: Students from Bangladesh, male (number)"
43073,"Asia: Students from Bhutan, male (number)"
43074,"Asia: Students from Brunei Darussalam, male (number)"
43075,"Asia: Students from Cambodia, male (number)"
43076,"Asia: Students from China, male (number)"
43077,"Asia: Students from Hong Kong, Special Administrative Region of China, male (number)"
43078,"Asia: Students from Macao, Special Administrative Region of China, male (number)"
43079,"Asia: Students from Cyprus, male (number)"
43080,"Asia: Students from the Democratic People's Republic of Korea, male (number)"
43081,"Asia: Students from Georgia, male (number)"
43082,"Asia: Students from India, male (number)"
43083,"Asia: Students from Indonesia, male (number)"
43084,"Asia: Students from the Islamic Republic of Iran, male (number)"
43085,"Asia: Students from Iraq, male (number)"
43086,"Asia: Students from Israel, male (number)"
43087,"Asia: Students from Japan, male (number)"
43088,"Asia: Students from Jordan, male (number)"
43089,"Asia: Students from Kazakhstan, male (number)"
43090,"Asia: Students from Kuwait, male (number)"
43091,"Asia: Students from Kyrgyzstan, male (number)"
43092,"Asia: Students from Lao People's Democratic Republic, male (number)"
43093,"Asia: Students from Lebanon, male (number)"
43094,"Asia: Students from Malaysia, male (number)"
43095,"Asia: Students from Maldives, male (number)"
43096,"Asia: Students from Mongolia, male (number)"
43097,"Asia: Students from Myanmar, male (number)"
43098,"Asia: Students from Nepal, male (number)"
43099,"Asia: Students from Oman, male (number)"
43100,"Asia: Students from Pakistan, male (number)"
43101,"Asia: Students from Palestine, male (number)"
43102,"Asia: Students from the Philippines, male (number)"
43103,"Asia: Students from Qatar, male (number)"
43104,"Asia: Students from the Republic of Korea, male (number)"
43105,"Asia: Students from Saudi Arabia, male (number)"
43106,"Asia: Students from Singapore, male (number)"
43107,"Asia: Students from Sri Lanka, male (number)"
43108,"Asia: Students from the Syrian Arab Republic, male (number)"
43109,"Asia: Students from Tajikistan, male (number)"
43110,"Asia: Students from Thailand, male (number)"
43111,"Asia: Students from Timor-Leste, male (number)"
43112,"Asia: Students from Turkey, male (number)"
43113,"Asia: Students from Turkmenistan, male (number)"
43114,"Asia: Students from the United Arab Emirates, male (number)"
43115,"Asia: Students from Uzbekistan, male (number)"
43116,"Asia: Students from Viet Nam, male (number)"
43117,"Asia: Students from the Yemen, male (number)"
43118,"Asia: Students from unknown countries, male (number)"
43119,"Inbound internationally mobile students from Asia, male (number)"
43120,"Europe: Students from Albania, male (number)"
43121,"Europe: Students from Andorra, male (number)"
43122,"Europe: Students from Austria, male (number)"
43123,"Europe: Students from Belarus, male (number)"
43124,"Europe: Students from Belgium, male (number)"
43125,"Europe: Students from Bosnia and Herzegovina, male (number)"
43126,"Europe: Students from Bulgaria, male (number)"
43127,"Europe: Students from Croatia, male (number)"
43128,"Europe: Students from the Czechia, male (number)"
43129,"Europe: Students from Denmark, male (number)"
43130,"Europe: Students from Estonia, male (number)"
43131,"Europe: Students from Finland, male (number)"
43132,"Europe: Students from France, male (number)"
43133,"Europe: Students from Germany, male (number)"
43134,"Europe: Students from Gibraltar, male (number)"
43135,"Europe: Students from Greece, male (number)"
43136,"Europe: Students from the Holy See, male (number)"
43137,"Europe: Students from Hungary, male (number)"
43138,"Europe: Students from Iceland, male (number)"
43139,"Europe: Students from Ireland, male (number)"
43140,"Europe: Students from Italy, male (number)"
43141,"Europe: Students from Latvia, male (number)"
43142,"Europe: Students from Liechtenstein, male (number)"
