STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REGION,,LOCATION,,INCOME,,VAR,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MEASURE,,UNIT_MULT,,BASE_PER,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,AUT,,HIN,,RCL__2,,2019,,12.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,AUT,,HIN,,SIGI_2,,2019,,11.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,AUT,,HIN,,DF__2,,2019,,22.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,AUT,,HIN,,RPI__2,,2019,,7.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,AUT,,HIN,,RAPFR__2,,2019,,4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,AUT,,HIN,,RCL__2,,2019,,12.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,BEL,,HIN,,SIGI_2,,2019,,11.2,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,BEL,,HIN,,DF__2,,2019,,22,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,BEL,,HIN,,RPI__2,,2019,,8.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,BEL,,HIN,,RAPFR__2,,2019,,3.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,BEL,,HIN,,RCL__2,,2019,,10.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,BEL,,HIN,,SIGI_2,,2019,,11.2,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,BEL,,HIN,,DF__2,,2019,,22,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,BEL,,HIN,,RPI__2,,2019,,8.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,BEL,,HIN,,RAPFR__2,,2019,,3.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,BEL,,HIN,,RCL__2,,2019,,10.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,AME,,CAN,,HIN,,SIGI_2,,2019,,18.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,AME,,CAN,,HIN,,DF__2,,2019,,26.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,AME,,CAN,,HIN,,RPI__2,,2019,,4.2,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,AME,,CAN,,HIN,,RAPFR__2,,2019,,17.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,AME,,CAN,,HIN,,RCL__2,,2019,,23.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,CAN,,HIN,,SIGI_2,,2019,,18.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,CAN,,HIN,,DF__2,,2019,,26.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,CAN,,HIN,,RPI__2,,2019,,4.2,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,CAN,,HIN,,RAPFR__2,,2019,,17.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,CAN,,HIN,,RCL__2,,2019,,23.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,CZE,,HIN,,SIGI_2,,2019,,19.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,CZE,,HIN,,DF__2,,2019,,27.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,CZE,,HIN,,RPI__2,,2019,,12.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,CYP,,HIN,,RPI__2,,2019,,11.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,CZE,,HIN,,RCL__2,,2019,,26.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,CZE,,HIN,,SIGI_2,,2019,,19.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,CZE,,HIN,,DF__2,,2019,,27.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,CZE,,HIN,,RPI__2,,2019,,12.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,CZE,,HIN,,RAPFR__2,,2019,,11.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,CZE,,HIN,,RCL__2,,2019,,26.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,DNK,,HIN,,SIGI_2,,2019,,10.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,DNK,,HIN,,DF__2,,2019,,15,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,DNK,,HIN,,RPI__2,,2019,,10.2,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,DNK,,HIN,,RAPFR__2,,2019,,4.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,DNK,,HIN,,RCL__2,,2019,,11,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,DNK,,HIN,,SIGI_2,,2019,,10.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,DNK,,HIN,,DF__2,,2019,,15,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,DNK,,HIN,,RPI__2,,2019,,10.2,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,DNK,,HIN,,RAPFR__2,,2019,,4.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,DNK,,HIN,,RCL__2,,2019,,11,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,FIN,,HIN,,SIGI_2,,2019,,15.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,FIN,,HIN,,DF__2,,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,FIN,,HIN,,RPI__2,,2019,,16.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,FIN,,HIN,,RAPFR__2,,2019,,3.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,FIN,,HIN,,RCL__2,,2019,,18.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,FIN,,HIN,,SIGI_2,,2019,,15.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,FIN,,HIN,,DF__2,,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,FIN,,HIN,,RPI__2,,2019,,16.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,FIN,,HIN,,RAPFR__2,,2019,,3.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,FIN,,HIN,,RCL__2,,2019,,18.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,FRA,,HIN,,SIGI_2,,2019,,11.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,FRA,,HIN,,DF__2,,2019,,27.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,FRA,,HIN,,RPI__2,,2019,,6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,FRA,,HIN,,RAPFR__2,,2019,,3.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,FRA,,HIN,,RCL__2,,2019,,5.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,FRA,,HIN,,SIGI_2,,2019,,11.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,FRA,,HIN,,DF__2,,2019,,27.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,FRA,,HIN,,RPI__2,,2019,,6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,FRA,,HIN,,RAPFR__2,,2019,,3.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,FRA,,HIN,,RCL__2,,2019,,5.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,DEU,,HIN,,SIGI_2,,2019,,15,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,DEU,,HIN,,DF__2,,2019,,18.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,DEU,,HIN,,RPI__2,,2019,,14.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,DEU,,HIN,,RAPFR__2,,2019,,13.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,DEU,,HIN,,RCL__2,,2019,,14.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,DEU,,HIN,,SIGI_2,,2019,,15,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,DEU,,HIN,,DF__2,,2019,,18.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,NZL,,HIN,,SIGI_2,,2019,,16.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,DEU,,HIN,,RAPFR__2,,2019,,13.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,DEU,,HIN,,RCL__2,,2019,,14.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,GRC,,HIN,,SIGI_2,,2019,,27.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,GRC,,HIN,,DF__2,,2019,,45.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,GRC,,HIN,,RPI__2,,2019,,9.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,GRC,,HIN,,RAPFR__2,,2019,,33.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,GRC,,HIN,,RCL__2,,2019,,16.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,GRC,,HIN,,SIGI_2,,2019,,27.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,GRC,,HIN,,DF__2,,2019,,45.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,GRC,,HIN,,RPI__2,,2019,,9.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,GRC,,HIN,,RAPFR__2,,2019,,33.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,GRC,,HIN,,RCL__2,,2019,,16.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,HUN,,HIN,,SIGI_2,,2019,,25.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,HUN,,HIN,,DF__2,,2019,,34.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,HUN,,HIN,,RPI__2,,2019,,17.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,HUN,,HIN,,RAPFR__2,,2019,,23.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,HUN,,HIN,,RCL__2,,2019,,27.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,HUN,,HIN,,SIGI_2,,2019,,25.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,HUN,,HIN,,DF__2,,2019,,34.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,HUN,,HIN,,RPI__2,,2019,,17.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,HUN,,HIN,,RAPFR__2,,2019,,23.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,HUN,,HIN,,RCL__2,,2019,,27.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,ISL,,HIN,,DF__2,,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,ISL,,HIN,,RCL__2,,2019,,17.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,ISL,,HIN,,DF__2,,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,ISL,,HIN,,RCL__2,,2019,,17.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,IRL,,HIN,,SIGI_2,,2019,,17.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,IRL,,HIN,,DF__2,,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,IRL,,HIN,,RPI__2,,2019,,18.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,IRL,,HIN,,RAPFR__2,,2019,,15.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,IRL,,HIN,,RCL__2,,2019,,11.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,IRL,,HIN,,SIGI_2,,2019,,17.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,IRL,,HIN,,DF__2,,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,IRL,,HIN,,RPI__2,,2019,,18.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,IRL,,HIN,,RAPFR__2,,2019,,15.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,IRL,,HIN,,RCL__2,,2019,,11.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,ITA,,HIN,,SIGI_2,,2019,,13.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,ITA,,HIN,,DF__2,,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,ITA,,HIN,,RPI__2,,2019,,14.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,ITA,,HIN,,RAPFR__2,,2019,,8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,ITA,,HIN,,RCL__2,,2019,,8.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,ITA,,HIN,,SIGI_2,,2019,,13.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,ITA,,HIN,,DF__2,,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,CZE,,HIN,,RAPFR__2,,2019,,11.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,ITA,,HIN,,RAPFR__2,,2019,,8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,ITA,,HIN,,RCL__2,,2019,,8.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,JPN,,HIN,,SIGI_2,,2019,,24,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,JPN,,HIN,,DF__2,,2019,,20.2,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,JPN,,HIN,,RPI__2,,2019,,21.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,JPN,,HIN,,RAPFR__2,,2019,,29.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,JPN,,HIN,,RCL__2,,2019,,24.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,JPN,,HIN,,SIGI_2,,2019,,24,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,JPN,,HIN,,DF__2,,2019,,20.2,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,JPN,,HIN,,RPI__2,,2019,,21.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,JPN,,HIN,,RAPFR__2,,2019,,29.6,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,JPN,,HIN,,RCL__2,,2019,,24.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,KOR,,HIN,,SIGI_2,,2019,,23.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,KOR,,HIN,,DF__2,,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,KOR,,HIN,,RPI__2,,2019,,17.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,KOR,,HIN,,RAPFR__2,,2019,,33,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,KOR,,HIN,,RCL__2,,2019,,20.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,KOR,,HIN,,SIGI_2,,2019,,23.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,KOR,,HIN,,DF__2,,2019,,21.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,KOR,,HIN,,RPI__2,,2019,,17.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,KOR,,HIN,,RAPFR__2,,2019,,33,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,KOR,,HIN,,RCL__2,,2019,,20.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,LUX,,HIN,,DF__2,,2019,,21.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,LUX,,HIN,,RAPFR__2,,2019,,7.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,LUX,,HIN,,RCL__2,,2019,,8.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,LUX,,HIN,,DF__2,,2019,,21.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,LUX,,HIN,,RAPFR__2,,2019,,7.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,LUX,,HIN,,RCL__2,,2019,,8.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,NLD,,HIN,,SIGI_2,,2019,,16.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,NLD,,HIN,,DF__2,,2019,,23.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,NLD,,HIN,,RPI__2,,2019,,13.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,NLD,,HIN,,RAPFR__2,,2019,,5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,NLD,,HIN,,RCL__2,,2019,,21.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,NLD,,HIN,,SIGI_2,,2019,,16.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,NLD,,HIN,,DF__2,,2019,,23.8,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,NLD,,HIN,,RPI__2,,2019,,13.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,NLD,,HIN,,RAPFR__2,,2019,,5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,NLD,,HIN,,RCL__2,,2019,,21.1,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,NZL,,HIN,,SIGI_2,,2019,,16.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,NZL,,HIN,,DF__2,,2019,,21.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,NZL,,HIN,,RPI__2,,2019,,17.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,NZL,,HIN,,RAPFR__2,,2019,,4.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ASI,,NZL,,HIN,,RCL__2,,2019,,22,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,AME,,USA,,HIN,,RCL__2,,2019,,22.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,NZL,,HIN,,DF__2,,2019,,21.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,NZL,,HIN,,RPI__2,,2019,,17.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,NZL,,HIN,,RAPFR__2,,2019,,4.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,NZL,,HIN,,RCL__2,,2019,,22,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,NOR,,HIN,,SIGI_2,,2019,,14.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,NOR,,HIN,,DF__2,,2019,,27.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,NOR,,HIN,,RPI__2,,2019,,7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,NOR,,HIN,,RAPFR__2,,2019,,2.2,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,NOR,,HIN,,RCL__2,,2019,,19.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,NOR,,HIN,,SIGI_2,,2019,,14.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,NOR,,HIN,,DF__2,,2019,,27.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,NOR,,HIN,,RPI__2,,2019,,7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,NOR,,HIN,,RAPFR__2,,2019,,2.2,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,NOR,,HIN,,RCL__2,,2019,,19.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,POL,,HIN,,SIGI_2,,2019,,17.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,POL,,HIN,,DF__2,,2019,,21.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,POL,,HIN,,RPI__2,,2019,,19.7,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,POL,,HIN,,RAPFR__2,,2019,,15.3,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,EUR,,POL,,HIN,,RCL__2,,2019,,12.5,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,POL,,HIN,,SIGI_2,,2019,,17.4,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,POL,,HIN,,DF__2,,2019,,21.9,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2019(1.0),,I,ALL,,POL,,HIN,,RPI__2,,2019,,19.7,,A,,,,,,,
